x1,x2,y
0.607745598,-0.542039247,1.14159649
0.552781762,0.381145665,1.023495693
0.330759606,-0.255226295,1.074435729
0.989226966,0.241676077,1.25363584
0.041901914,-0.974181341,1.267069087
0.283608509,0.734611042,1.136058716
0.407483139,-0.232825709,0.961714198
0.843836787,0.164708396,1.188697197
0.54606769,-0.428815577,1.128990419
0.600390637,-0.700552385,1.246969881
0.869960631,0.03604236,1.337719626
0.517075106,-0.232093265,1.048201233
0.448011719,0.629322184,1.256352769
0.818964202,-0.771355327,1.484213241
0.37244789,0.816766869,1.055561407
0.739890744,0.084627827,1.104926663
0.973357341,0.6130253,1.248347121
0.507278665,-0.254249702,1.088221963
0.977385784,0.052278207,1.380112279
0.526779992,-0.557176428,1.306059581
0.973570971,-0.933591723,1.58610024
0.925778985,-0.366863002,1.332400276
0.958555864,0.150975066,1.282456922
0.390789514,-0.646839808,1.328009889
0.406170843,0.251747185,1.073183807
0.212134159,0.722830897,1.050993317
0.372142705,0.761711478,1.124522733
0.255684072,0.432111576,1.001544091
0.723075045,0.629261147,1.279536213
0.841425825,-0.295144505,1.171144545
0.801446577,0.600878933,1.430482022
0.846705527,-0.827692495,1.508284666
0.823114719,-0.204382458,1.235815051
0.392590106,-0.436262093,1.061798924
0.18161565,0.391521958,0.940058064
0.84112064,-0.625782037,1.358522186
0.725882748,-0.559068575,1.482803909
0.153416547,0.956785791,1.211468515
0.111056856,-0.020722068,0.905419056
0.559678945,-0.951109348,1.386554815
0.621784112,-0.111850337,1.222704518
0.594012268,0.846003601,1.42384823
0.554857021,-0.314188055,1.105844842
0.48054445,0.607348857,1.193598432
0.455885495,0.776604511,1.117703998
0.240974151,0.696890164,1.183759113
0.347544786,0.9635609,1.338602842
0.356456191,-0.853694266,1.057135874
0.700888089,-0.546800134,1.263177673
0.983458968,-0.444502091,1.364686363
0.400738548,0.413312174,1.077849228
0.216864528,0.645496994,1.09273257
0.475936155,-0.367168188,0.975908048
0.341349528,0.317545091,1.123039592
0.02191229,0.228247932,0.859111284
0.03604236,0.885982849,1.046385216
0.667348247,-0.109408856,1.070045588
0.728598895,0.500778222,1.281051608
0.251289407,-0.874752037,1.127725778
0.348429823,0.905331584,1.432453511
0.207434309,0.54893643,1.051482157
0.241126743,-0.165623951,0.767043816
0.621845149,0.828241829,1.327159978
0.592425306,-0.201086459,1.157341928
0.16809595,0.521347697,0.930390328
0.001709037,-0.023224586,0.857801207
0.250038148,0.163243507,0.839117418
0.464186529,0.682668538,1.087367367
0.824793237,0.676320688,1.155876383
0.592852565,0.675344096,1.080096509
0.662495804,-0.16891995,1.12734988
0.062135685,0.627368999,1.069112855
0.34745323,-0.717337565,1.232030886
0.608417005,-0.320780053,1.048338637
0.265266884,-0.083285012,0.968689904
0.103946043,0.379009369,0.952870251
0.275002289,0.099581896,0.9367695
0.85625782,0.719718009,1.342744842
0.862239448,-0.799737541,1.466742526
0.997039705,0.676320688,1.532452547
0.428785058,0.673879208,1.272960322
0.241676077,0.868404187,1.233012151
0.12817774,0.331217383,0.913915247
0.043488876,0.978270821,1.085961363
0.42219306,-0.593615528,1.034003096
0.864741966,-0.41257973,1.269839342
0.443525498,-0.072115238,1.063748407
0.561784722,-0.585070345,1.164057625
0.421826838,0.951109348,1.184471002
0.360698263,0.783501694,1.123283218
0.996368297,-0.334025086,1.447405386
0.204718162,-0.227088229,0.947379207
0.31714835,0.507858516,1.016072707
0.016754662,0.177953429,0.749779979
0.558580279,-0.582750938,1.053986934
0.25675222,0.328531755,1.116683396
0.954527421,0.573046052,1.537171768
0.694814905,-0.693655202,1.348470274
0.841914121,0.501815851,1.278905678
0.190710166,0.341166417,0.947206265
0.591814936,0.708914457,1.341074871
0.092318491,0.459089938,1.089254536
0.84029664,0.116000855,1.051826275
0.265480514,-0.980468154,1.397573802
0.230170598,-0.104098636,0.940851533
0.372417371,-0.124118778,1.122414619
0.064821314,0.998840297,1.098202703
0.446119572,0.772942289,1.22446492
0.978850673,0.028595843,1.399246092
0.694204535,-0.493331706,1.259704222
0.077791681,-0.601367229,1.112930786
0.427381207,-0.440351573,1.096063663
0.109439375,0.119235817,0.83780152
0.6748558,0.651783807,1.217243119
0.231238746,-0.595873898,0.887264288
0.042085025,0.146763512,0.887482686
0.956144902,-0.229590747,1.331904734
0.31449324,-0.20700705,0.817131638
0.017487106,0.69963683,0.825296942
0.835413678,-0.909054842,1.50533736
0.31736198,-0.519516587,1.223281478
0.415326395,-0.071138646,0.990348922
0.936704611,-0.189916684,1.235157819
0.086519974,-0.743827631,1.109784897
0.516342662,0.342631306,1.051901811
0.02600177,-0.273720511,0.937105228
0.288644063,-0.104037599,0.871949689
0.058717612,0.67772454,1.142660561
0.775353252,0.701223792,1.208781258
0.942838832,-0.199072237,1.330393706
0.794396802,-0.838312937,1.396056143
0.759269997,-0.413373211,1.040093784
0.061403241,0.328348643,0.93486702
0.798638874,0.439497055,1.341565674
0.454298532,0.940122684,1.438649923
