x1,x2,y
0.607745598,-0.542039247,1.614679013
0.552781762,0.381145665,1.400578676
0.330759606,-0.255226295,1.407177796
0.989226966,0.241676077,1.582550562
0.041901914,-0.974181341,2.465419506
0.283608509,0.734611042,1.815950295
0.407483139,-0.232825709,1.288734312
0.843836787,0.164708396,1.501876154
0.54606769,-0.428815577,1.52926834
0.600390637,-0.700552385,1.879755171
0.869960631,0.03604236,1.638338939
0.517075106,-0.232093265,1.375012441
0.448011719,0.629322184,1.807693931
0.818964202,-0.771355327,2.217906563
0.37244789,0.816766869,1.869949873
0.739890744,0.084627827,1.408364194
0.973357341,0.6130253,1.781742744
0.507278665,-0.254249702,1.420645219
0.977385784,0.052278207,1.681413287
0.526779992,-0.557176428,1.791292303
0.973570971,-0.933591723,2.661067527
0.925778985,-0.366863002,1.702832605
0.958555864,0.150975066,1.593467653
0.390789514,-0.646839808,1.897925366
0.406170843,0.251747185,1.404978746
0.212134159,0.722830897,1.714416575
0.372142705,0.761711478,1.844804289
0.255684072,0.432111576,1.403834827
0.723075045,0.629261147,1.830050289
0.841425825,-0.295144505,1.515297866
0.801446577,0.600878933,1.953021568
0.846705527,-0.827692495,2.341037769
0.823114719,-0.204382458,1.556327338
0.392590106,-0.436262093,1.466228321
0.18161565,0.391521958,1.322107803
0.84112064,-0.625782037,1.905068525
0.725882748,-0.559068575,1.969109714
0.153416547,0.956785791,2.356986432
0.111056856,-0.020722068,1.205625564
0.559678945,-0.951109348,2.513947898
0.621784112,-0.111850337,1.528744009
0.594012268,0.846003601,2.294489384
0.554857021,-0.314188055,1.456529529
0.48054445,0.607348857,1.723139793
0.455885495,0.776604511,1.861576697
0.240974151,0.696890164,1.812749497
0.347544786,0.9635609,2.503747899
0.356456191,-0.853694266,1.944703308
0.700888089,-0.546800134,1.739745976
0.983458968,-0.444502091,1.772692007
0.400738548,0.413312174,1.47029222
0.216864528,0.645496994,1.661460284
0.475936155,-0.367168188,1.346978627
0.341349528,0.317545091,1.475006394
0.02191229,0.228247932,1.185092591
0.03604236,0.885982849,2.006056459
0.667348247,-0.109408856,1.375817882
0.728598895,0.500778222,1.724096219
0.251289407,-0.874752037,2.061370108
0.348429823,0.905331584,2.438153509
